Time,core_cpu,cu_cpu,du_cpu,ru_cpu,Total
2022-01-17 22:54:00,,,,,0.0
2022-01-17 22:54:30,,,,,0.0
2022-01-17 22:55:00,,,,,0.0
2022-01-17 22:55:30,0.836,1.09,1.09,1.08,4.096
2022-01-17 22:56:00,0.838,1.09,1.09,0.872,3.8899999999999997
2022-01-17 22:56:30,0.825,1.04,0.705,0.0,2.57
2022-01-17 22:57:00,0.828,0.00238,0.0153,0.0,0.84568
2022-01-17 22:57:30,0.833,0.0,0.000157,0.0,0.8331569999999999
2022-01-17 22:58:00,0.83,0.0,0.000152,0.0,0.830152
2022-01-17 22:58:30,0.493,0.000132,0.128,0.0277,0.648832
2022-01-17 22:59:00,0.484,0.0,0.215,0.0412,0.7402
2022-01-17 22:59:30,0.541,0.107,0.379,0.208,1.235
2022-01-17 23:00:00,0.556,0.116,0.436,0.219,1.3270000000000002
